Round,RPi,Treatment,Pre-exp_treat,Tube,Solution,Start,End,Change,Notes,Thorax
21,2,SUC,SUC,L,S2,3.5087,3.2643,0.2444,Alive,5.59
21,2,SUC,SUC,R,S1,3.5329,3.4305,0.1024,Alive,5.59
21,3,SUC,SUC,L,S1,3.5469,3.4389,0.108,Alive,5.29
21,3,SUC,SUC,R,S2,3.5084,3.319,0.1894,Alive,5.29
21,4,SUC,SUC,L,S2,3.5569,3.4164,0.1405,Alive,5.44
21,4,SUC,SUC,R,S1,3.5373,3.3491,0.1882,Alive,5.44
21,5,SUC,SUC,L,S1,3.5353,3.2313,0.304,Alive,6.04
21,5,SUC,SUC,R,S2,3.5676,3.2554,0.3122,Alive,6.04
21,6,SCOP,SCOP,L,Sucrose,3.6149,3.4306,0.1843,Alive,5.79
21,6,SCOP,SCOP,R,Scopolamine,3.4468,3.2283,0.2185,Alive,5.79
21,7,SCOP,SCOP,L,Scopolamine,3.4923,3.3133,0.179,Alive,5.55
21,7,SCOP,SCOP,R,Sucrose,3.4989,3.2579,0.241,Alive,5.55
21,8,SCOP,SCOP,L,Sucrose,3.5058,3.3223,0.1835,Alive,5.3
21,8,SCOP,SCOP,R,Scopolamine,3.5165,3.1088,0.4077,Alive,5.3
21,9,SCOP,SCOP,L,Scopolamine,3.4869,3.2236,0.2633,Alive,5.57
21,9,SCOP,SCOP,R,Sucrose,3.5004,3.3146,0.1858,Alive,5.57
21,10,SCOP,SCOP,L,Sucrose,3.5592,3.2334,0.3258,Alive,5.24
21,10,SCOP,SCOP,R,Scopolamine,3.6021,3.4226,0.1795,Alive,5.24
22,1,TMX,TMX,L,TMX,3.5673,3.4162,0.1511,Alive,5.79
22,1,TMX,TMX,R,Sucrose,3.5727,3.3296,0.2431,Alive,5.79
22,2,TMX,TMX,L,Sucrose,3.5158,3.4432,0.0726,Died,5.04
22,2,TMX,TMX,R,TMX,3.5083,3.4328,0.0755,Died,5.04
22,3,TMX,TMX,L,TMX,3.4823,3.3207,0.1616,Alive,5.82
22,3,TMX,TMX,R,Sucrose,3.5188,3.3547,0.1641,Alive,5.82
22,4,TMX,TMX,L,Sucrose,3.5082,3.4498,0.0584,Died,5.42
22,4,TMX,TMX,R,TMX,3.5172,3.4484,0.0688,Died,5.42
22,5,AREC,AREC,L,Arecoline,3.56,3.4703,0.0897,Died,5.2
22,5,AREC,AREC,R,Sucrose,3.5825,3.5121,0.0704,Died,5.2
22,6,AREC,AREC,L,Sucrose,3.5154,3.464,0.0514,Died,4.7
22,6,AREC,AREC,R,Arecoline,3.4907,3.4309,0.0598,Died,4.7
22,7,AREC,AREC,L,Arecoline,3.5455,3.3255,0.22,Alive,5.84
22,7,AREC,AREC,R,Sucrose,3.5667,3.482,0.0847,Alive,5.84
22,8,AREC,AREC,L,Sucrose,3.5415,3.4868,0.0547,Died,5.08
22,8,AREC,AREC,R,Arecoline,3.5464,3.479,0.0674,Died,5.08
22,9,AREC,AREC,L,Arecoline,3.5419,3.2482,0.2937,Alive,5.64
22,9,AREC,AREC,R,Sucrose,3.5083,3.4143,0.094,Alive,5.64
22,10,AREC,AREC,L,Sucrose,3.538,3.3803,0.1577,Alive,5.06
22,10,AREC,AREC,R,Arecoline,3.5304,3.3769,0.1535,Alive,5.06
