Round,RPi,Treatment,Pre_exp_treat,Tube,Solution,Start,End,Change,Notes,Solution_2,Solution_3,Solution_4
4,3,Nic_choice,Nicotine,R,N,3.5577,3.2129,0.3448,Alive,N,N,N
4,4,Nic_choice,Nicotine,L,N,3.4415,3.1296,0.3119,Alive,N,N,N
4,4,Nic_choice,Nicotine,R,S,3.4838,3.401,0.0828,Alive,S,S,S
4,5,Nic_choice,Nicotine,L,S,3.4967,3.1193,0.3774,Alive,S,S,S
4,5,Nic_choice,Nicotine,R,N,3.4654,3.3393,0.1261,Alive,N,N,N
4,6,Suc_choice,Sucrose,L,N,3.577,3.4599,0.1171,Alive,N,N,N
4,6,Suc_choice,Sucrose,R,S,3.4931,3.3375,0.1556,Alive,S,S,S
4,7,Suc_choice,Sucrose,L,N,3.5107,3.4452,0.0655,Died,N,N,N
4,7,Suc_choice,Sucrose,R,S,3.525,3.4361,0.0889,Died,S,S,S
4,8,Suc_choice,Sucrose,L,N,3.5256,3.4638,0.0618,Died,N,N,N
4,8,Suc_choice,Sucrose,R,S,3.5784,3.4579,0.1205,Died,S,S,S
4,9,Suc_choice,Sucrose,L,N,3.552,3.497,0.055,Died,N,N,N
4,9,Suc_choice,Sucrose,R,S,3.5099,3.4624,0.0475,Died,S,S,S
4,10,Suc_choice,Sucrose,L,N,3.5571,3.4347,0.1224,Alive,N,N,N
4,10,Suc_choice,Sucrose,R,S,3.5301,3.3088,0.2213,Alive,S,S,S
5,2,Nic_nochoice,Nicotine,L,S1,3.5632,3.3948,0.1684,Alive,S1,S1,S1
5,2,Nic_nochoice,Nicotine,R,S2,3.5424,3.2072,0.3352,Alive,S2,S2,S2
5,3,Nic_nochoice,Nicotine,L,S2,3.5875,3.4849,0.1026,Alive,S2,S2,S1
5,3,Nic_nochoice,Nicotine,R,S1,3.5627,3.4276,0.1351,Alive,S1,S1,S2
5,4,Nic_nochoice,Nicotine,L,S1,3.5544,3.2985,0.2559,Alive,S2,S1,S2
5,4,Nic_nochoice,Nicotine,R,S2,3.5499,3.3924,0.1575,Alive,S1,S2,S1
5,5,Nic_nochoice,Nicotine,L,S1,3.5506,3.3002,0.2504,Alive,S2,S2,S2
5,5,Nic_nochoice,Nicotine,R,S2,3.5303,3.4082,0.1221,Alive,S1,S1,S1
5,6,Nic_nochoice,Nicotine,L,S2,3.5271,3.3401,0.187,Alive,S1,S1,S2
5,6,Nic_nochoice,Nicotine,R,S1,3.5013,3.3192,0.1821,Alive,S2,S2,S1
5,7,Nic_nochoice,Nicotine,L,S2,3.631,3.3449,0.2861,Alive,S1,S2,S1
5,7,Nic_nochoice,Nicotine,R,S1,3.5997,3.4796,0.1201,Alive,S2,S1,S2
5,8,Nic_nochoice,Nicotine,L,S2,3.6599,3.5203,0.1396,Alive,S1,S1,S2
5,8,Nic_nochoice,Nicotine,R,S1,3.6308,3.4244,0.2064,Alive,S2,S2,S1
5,9,Nic_nochoice,Nicotine,L,S1,3.6145,3.4701,0.1444,Alive,S1,S2,S2
